Temp,DO,pH,BOD,NITRATE_N_NITRITE_N,WQI
23.5,7.1,7.6,2,0,7.8019
24.2,7.1,7.4,2.1,0,7.9016
23.7,7.8,7.8,2.4,0,8.1489
20.9,5.4,7.5,3.3,0,7.0961
23.7,7.7,7.8,2.3,0,8.1015
25.2,4.5,7.2,5.3,0,7.8798
18.5,7.3,7.8,2.8,0,7.2005
23.3,7,7.4,2.5,0,7.7951
25.6,2.1,6.9,8.6,0,7.8142
23.5,7.2,7.6,2.2,0,7.8679
27.8,2.1,7.2,11,0,8.6882
24.5,8,7.9,1.7,0,8.2301
22.6,8.4,7.9,2,0,8.08
25.6,6.9,7.9,1.5,2.8,8.536
22.3,7.9,7.8,2.2,0,7.9039
21,8,7.9,2.1,0,7.713
27.8,2.1,7.3,9.7,0,8.465
22.7,5.8,7.2,6,4.3,8.6907
19,4.8,7.6,22,3.6,10.658
23,5.5,7.3,10,5,9.536
24,5.1,7.4,23.7,5.9,12.309
24.7,5.5,7.4,10,6.1,10.028
25,5,7.6,16.3,6.1,11.144
22,4.9,7.7,27.5,7.7,12.981
24.3,5,7.3,19.3,6.2,11.545
23.3,5.3,7.2,13.3,5.9,10.277
19.5,4.9,7.7,21,4.2,10.756
21.5,4.1,7.5,23,6.1,11.5211951
20,4.8,7.4,17,4.7,10.0974
32.6,4,6.8,3,0.8,8.6198
23.6,7.8,7.8,1.3,0.4,7.9951
23.9,7.7,7.7,1.3,0.3,7.9815
24.5,7.6,7.9,1.6,0.4,8.164
18.1,4.4,7.1,41,1.2,13.476
25.1,5.9,8,0.9,0.7,7.7151
22.3,6,7.2,0.8,0.4,7.0524
23.7,5.6,7.9,1.1,0.8,7.4276
23.9,6.2,8.1,1,0.7,7.6359
25.1,6.6,7.8,4.9,0.2,8.5387
29.6,6.9,7.9,5,0.4,9.4567
27.4,6.8,7.7,5.2,0.3,9.0392
27.8,6.7,7.8,4.9,0.3,9.0408
30.6,5.1,7.3,10.3,1.8,10.2188
25,5.6,7.9,3.6,1.9,8.2988
25,6.4,7.6,5.7,0.6,8.6436
25,5.5,7.4,7.7,1.1,8.804
25.3,5.3,7.7,9.9,1.2,9.279
25.1,6.7,7.6,4.8,0.2,8.5117
26.1,3.6,7.4,31.3,2.2,13.0187
21.4,7.2,7.7,3.1,0.8,7.8345
27.4,5.9,7.4,6.4,0.4,8.9643
27.1,5.4,7.5,7.4,1.5,9.1607
27.2,5.8,7.3,5.4,0.6,8.731
27.3,5.9,7.4,5.1,1.2,8.8412
27,6,7.3,8.5,0.4,9.2975
27.2,6.1,7.3,6.1,0.5,8.9307
27,5.9,7.4,6.4,0.4,8.8967
22.6,6.3,7.8,4.6,0.9,8.0927
28.4,6.7,7.3,3.5,1.8,9.043
28,6.8,7.2,3.1,1.4,8.8434
27.6,6.8,7.3,3.3,1.6,8.8655
27.9,6.9,7.3,3.3,1.6,8.945
28.1,6.9,7.3,3.4,1.7,9.0144
27.1,6.8,7.9,4.9,0.8,9.0546
27.6,6.6,8.1,4.6,0.3,8.9782
27.3,6.7,8,5,0.3,9.0121
27.8,6.7,7.8,4.9,0.3,9.0408
28,5.9,7.7,5.5,0.6,8.988
28.1,6.3,7.6,4.6,0.6,8.9341
28.6,6.6,7.6,4.7,0.7,9.1406
